TEAM,NET_RATING,OREB_PCT,PIE,TOTAL_MIN,AST_PCT,TOTAL_POS,TS_PCT,AST_RATIO,OFF_RATING,DEF_RATING,TM_TOV_PCT,EFG_PCT,AST_TO,PACE,DREB_PCT,NUM_OF_ITEMS,REB_PCT
,,,,,,,,,,,,,,,,,
cavaliers,11.85160528,0.252814835,0.637510354,346,0.602165458,683.621875,0.594549294,18.30564963,115.2505248,103.3999133,0.139917581,0.567671733,1.578620973,95.37673938,0.749752478,50,0.500488883
,,,,,,,,,,,,,,,,,
knicks,1.04706672,0.170705733,0.50294324,468,0.587055533,951.8070833,0.561129135,16.8179053,109.9985897,108.9631119,0.098454869,0.49768849,2.249672157,98.29532455,0.7414487,38,0.460780046
,,,,,,,,,,,,,,,,,
nets,-88.72946454,0,0.032412952,11,0.664271047,19.784375,0.446578518,16.65150213,76.6124688,165.3419333,0.147232854,0.446578518,0.909303428,86.86046975,0.681314832,3,0.256526741
,,,,,,,,,,,,,,,,,
magic,-12.60786569,0.211937009,0.362191531,58,0.637018116,118.70125,0.484918186,15.40061832,93.03269658,105.6475651,0.137071282,0.463445513,0.911814148,99.5075921,0.702287722,12,0.459434949
,,,,,,,,,,,,,,,,,
hornets,-1.776837506,0.203926596,0.494485643,1242,0.563012767,2593.239583,0.558766939,16.52508999,106.7885281,108.560818,0.133365385,0.511231749,1.78272879,100.665647,0.776666641,76,0.482480138
,,,,,,,,,,,,,,,,,
grizzlies,-4.143054674,0.09517692,0.510717172,73,0.620385904,146.676875,0.567650422,18.90045636,106.8953836,111.0497565,0.095040429,0.517299736,2.024336658,96.581454,0.675950538,4,0.418867293
,,,,,,,,,,,,,,,,,
kings,3.546498344,0.196646159,0.537506391,836,0.659292807,1815.078958,0.577207596,19.19844801,107.2691218,103.6851067,0.152590023,0.539065467,1.91686456,104.6400362,0.757106386,31,0.483773058
,,,,,,,,,,,,,,,,,
suns,1.061177235,0.202803439,0.494895216,655,0.59689815,1405.348125,0.573355889,17.60973455,108.2245102,107.1735409,0.141354799,0.538260035,1.992565757,103.726395,0.753940762,76,0.471710536
,,,,,,,,,,,,,,,,,
warriors,23.83996055,0.225994076,0.639307341,575,0.699364346,1272.081667,0.65112158,21.77711197,125.1363148,101.2823929,0.122961514,0.621468216,2.268578077,106.643258,0.747722127,46,0.512688833
,,,,,,,,,,,,,,,,,
jazz,8.019795252,0.208238336,0.642176271,14,0.306740072,27.96125,0.655069859,11.46642973,127.0613468,119.0415516,0.10512565,0.611070812,1.207623646,100.6098352,0.722554964,3,0.488910144
,,,,,,,,,,,,,,,,,
nuggets,-0.993274693,0.224445757,0.456496224,1330,0.553655322,2720.365417,0.536931524,15.50274618,101.8337714,102.8433785,0.150165077,0.489527475,1.551839664,98.71859809,0.756604544,111,0.493227161
,,,,,,,,,,,,,,,,,
celtics,7.570121637,0.245334969,0.542825947,1206,0.584640798,2579.252917,0.553950281,16.90769211,107.3645746,99.79429642,0.137697134,0.510999781,1.873977324,103.3045503,0.756620519,83,0.493107597
,,,,,,,,,,,,,,,,,
bobcats,1.858732273,0.20259038,0.519433799,790,0.604531523,1602.284167,0.530096135,16.20959252,101.6351392,99.77358984,0.134016778,0.478092671,1.659320436,97.8745639,0.796431259,61,0.496387164
,,,,,,,,,,,,,,,,,
timberwolves,-12.81836419,0.243909821,0.413577163,386,0.541824206,806.808125,0.5477018,14.9465853,104.3946798,117.2449764,0.154812885,0.492500916,1.367439104,100.6681471,0.710676692,25,0.4734692
,,,,,,,,,,,,,,,,,
bulls,0.920430763,0.210958167,0.511911622,1030,0.609455142,2129.330833,0.541712031,17.61251944,105.2986489,104.3765225,0.122547016,0.499215049,2.039861887,99.66711828,0.749140574,64,0.481524823
,,,,,,,,,,,,,,,,,
hawks,4.538988644,0.180890996,0.524524451,2600,0.676972829,5402.663958,0.553444281,19.47029147,103.1018321,98.60393781,0.144967565,0.520055834,1.85747508,100.0477185,0.740086915,103,0.47268496
,,,,,,,,,,,,,,,,,
rockets,-2.721654466,0.184744292,0.482683006,288,0.644368116,618.051875,0.574703581,16.91599977,106.8348753,109.5604329,0.157292209,0.535288664,1.621904438,103.8642871,0.710563349,37,0.44765281
,,,,,,,,,,,,,,,,,
bucks,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
thunder,3.6047711,0.200059668,0.515491676,202,0.58731022,451.3154167,0.622805074,17.35851571,116.6720321,113.0601899,0.139024207,0.558598563,1.811262499,107.6628105,0.680685673,20,0.463959429
,,,,,,,,,,,,,,,,,
pistons,78.83172024,0.121159501,1.365392973,4,0.507655648,16.43666667,0.821009886,17.88060738,176.3906231,97.50583553,0.15141414,0.772992294,0,198.0747739,0.772992294,11,0.692300066
,,,,,,,,,,,,,,,,,
clippers,-5.624349589,0.164021559,0.465944539,246,0.557000637,501.0291667,0.495999127,15.08910542,92.86125425,98.45756954,0.139919061,0.460046642,1.443956265,99.15477471,0.707146763,15,0.418751274
,,,,,,,,,,,,,,,,,
heat,12.57753177,0.179255103,0.582892499,187,0.612720102,363.8489583,0.570706735,17.86511459,105.6099953,93.04410971,0.142277677,0.525147392,1.874390054,94.05425121,0.831296402,19,0.511023166
,,,,,,,,,,,,,,,,,
mavericks,11.37355679,0.131300011,0.581757401,232,0.585658328,477.8195833,0.625601927,19.18700996,119.2675524,107.896797,0.097285194,0.585140658,1.923950794,99.81830553,0.763929373,25,0.45778107
,,,,,,,,,,,,,,,,,
lakers,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
spurs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
wizards,-3.549659756,0.169745496,0.582273475,331,0.585485635,684.4970833,0.553901655,16.89004016,105.3331429,108.8701047,0.126170206,0.514582687,2.20202751,99.99109597,0.759773016,45,0.444753436
,,,,,,,,,,,,,,,,,
sixers,4.303400977,0.227118047,0.355567069,21,0.500737382,45.80791667,0.600514667,17.26355433,109.6976996,105.3606036,0.197502961,0.574428383,2.971122168,104.7876956,0.618823766,3,0.418630586
,,,,,,,,,,,,,,,,,
raptors,9.601862464,0.19503374,0.819326087,283,0.498843696,573.0089583,0.579093145,15.02834645,107.2717826,97.67738822,0.148441086,0.534051,1.410305656,99.09193911,0.761612654,36,0.476983711
,,,,,,,,,,,,,,,,,
blazers,7.211428207,0.243204532,0.558858646,142,0.469340548,318.4135417,0.608258957,14.99720208,119.0652287,111.8410219,0.121479557,0.555574956,2.070909581,110.55019,0.695735629,20,0.477448144
,,,,,,,,,,,,,,,,,
pacers,41.76513047,0.314140445,0.824422295,13,0.364160898,32.575,0.549873369,10.61798926,120.0472717,78.28214121,0.108722794,0.462753108,1.891941673,122.4197955,0.627488335,3,0.51139175
